Cz,Fz,Fp1,F7,F3,FC1,C3,FC5,FT9,T7,CP5,CP1,P3,P7,PO9,O1,Pz,Oz,O2,PO10,P8,P4,CP2,CP6,T8,FT10,FC6,C4,FC2,F4,F8,Fp2,timestamp
-0.571831845578698,-0.5921263447013042,-0.0025177386129544,-0.7283894102388033,-0.4645609216449222,-0.6511787594415195,-0.5941100175478748,-0.52498664835584,-0.4535744258793007,-0.4201571679255356,-0.5063706416418704,-0.6224917982757302,-0.5570305943389025,-0.2700083924620428,-0.3502708476386659,-0.4602883955138471,-0.5834287022201874,-0.4686808575570302,-0.3881132219424731,-0.1396963454642553,-0.375600823987182,-0.4843976501106275,-0.6243228809033338,-0.5077439536125731,-0.520714122224765,-0.5385671778438998,-0.4258030060273132,-0.5541313801785303,-0.5202563515678642,-0.235065232318608,-0.5263599603265428,0.1422903791866945,90.515625
-0.580987258716716,-0.5982299534599829,-0.0347142748149839,-0.759822995345998,-0.486686503395132,-0.665827420462348,-0.6052491035324632,-0.5516899366750588,-0.4613565270466159,-0.4412146181429766,-0.5094224460212097,-0.6218814373998623,-0.5477225909819178,-0.2527656977187758,-0.3171587701228347,-0.4270237277790489,-0.5751888303959712,-0.435416189822232,-0.3548485542076749,-0.106736858167391,-0.3583581292439151,-0.469596398870832,-0.6180666819256881,-0.4973678187228195,-0.5315480277714195,-0.5478751812008846,-0.422751201647974,-0.5530632486457614,-0.5187304493781946,-0.2167544060425722,-0.528953994048981,0.1097886625467312,90.5234375
-0.5477225909819178,-0.5648126955062177,-0.0019073777370866,-0.7264057373922328,-0.4534218356603338,-0.6324101625085828,-0.571831845578698,-0.5182726787212936,-0.4280918593118177,-0.4081025406271454,-0.4761577782864114,-0.5884641794460971,-0.5144579232471195,-0.2198062104219115,-0.2840466926070035,-0.3937590600442507,-0.5417715724422061,-0.4021515220874338,-0.3217364766918437,-0.0739299610894937,-0.3252460517280838,-0.4363317311360338,-0.5846494239719231,-0.4641031509880213,-0.4981307698176543,-0.5144579232471195,-0.3896391241321427,-0.5196459906919964,-0.4854657816433962,-0.183794918745708,-0.4956893263141829,0.1424429694056615,90.53125
-0.5538261997405963,-0.5800717174029142,0.0307469291218437,-0.6928358892195007,-0.4790569924467838,-0.6415655756466007,-0.5759517814908061,-0.5117112993057141,-0.4302281223773552,-0.3948271915770195,-0.4802777141985195,-0.601739528496223,-0.5329213397421222,-0.2431525139238571,-0.316090638590066,-0.4256504158083463,-0.5663385976958873,-0.4340428778515293,-0.3536278324559392,-0.1061264972915232,-0.3571374074921793,-0.4682230869001293,-0.6092164492256043,-0.4918745708400087,-0.4981307698176543,-0.5181200885023267,-0.4091706721599141,-0.5376516365300981,-0.5008773937590597,-0.2118715190356294,-0.5130846112764168,0.1750972762645918,90.5390625
-0.5855649652857249,-0.6118104829480427,-0.0014496070801857,-0.7244220645456623,-0.5109483482108793,-0.6731517509727624,-0.6076905470359346,-0.5434500648508427,-0.4621194781414507,-0.426718547341115,-0.5120164797436481,-0.6333257038223846,-0.5646601052872507,-0.2751964599069196,-0.3479819943541615,-0.4575417715724418,-0.5980773632410159,-0.4659342336156248,-0.3856717784390017,-0.1381704432745857,-0.3890287632562749,-0.4999618524452578,-0.640802624551766,-0.5236133363851374,-0.5300221255817499,-0.5498588540474553,-0.4410620279240096,-0.5693904020752266,-0.5326161593041883,-0.2439154650186919,-0.5448233768215454,0.1427481498435954,90.546875
-0.6115053025101088,-0.6327153429465168,-0.0337987335011821,-0.7560082398718239,-0.4985885404745552,-0.6888685435263596,-0.631647211413748,-0.5706111238269623,-0.4831769283588918,-0.4586099031052105,-0.5437552452887766,-0.6552986953536274,-0.5840390630960552,-0.2938124666208892,-0.3148699168383302,-0.4442664225223159,-0.6133363851377124,-0.4402990768291748,-0.354543373769741,-0.1053635461966883,-0.4200045777065686,-0.5230029755092696,-0.657587548638132,-0.5431448844129088,-0.5617608911268784,-0.5774776836804757,-0.4641031509880213,-0.5902952620737006,-0.5530632486457614,-0.2585641260395205,-0.5765621423666739,0.110246433203632,90.5546875
-0.6432440680552374,-0.6644541084916453,-0.0521095597772178,-0.7730983443961238,-0.5048447394522008,-0.7148088807507434,-0.6581979095139998,-0.5889219501029981,-0.5149156939040204,-0.4903486686503391,-0.5672541390096891,-0.6842908369573506,-0.610131990539406,-0.3022049286640722,-0.3002212558175017,-0.4457923247119856,-0.6450751506828409,-0.4517433432516972,-0.3771267261768516,-0.1056687266346223,-0.4332799267566945,-0.5471122301060499,-0.6891737239642935,-0.5748836499580373,-0.593499656672007,-0.6092164492256043,-0.4959945067521168,-0.6220340276188292,-0.58480201419089,-0.2899977111467151,-0.5800717174029142,0.0778973067826356,90.5625
-0.6252384222171355,-0.6395819028000301,-0.0193026626993205,-0.7395284962233917,-0.5268177309834435,-0.7100785839627677,-0.6452277409018078,-0.5735103379873346,-0.4959945067521168,-0.4601358052948802,-0.5350576028076597,-0.6667429617761498,-0.5880064087891963,-0.2747386892500187,-0.294728007934691,-0.4413672083619436,-0.6269169146257721,-0.4456397344930186,-0.3731593804837106,-0.0902571145189589,-0.4001678492408633,-0.5136949721522847,-0.6603341725795373,-0.5414663920042722,-0.5631342030975811,-0.5788509956511785,-0.4627298390173186,-0.5962462806134123,-0.5606927595941096,-0.2631418326085294,-0.5466544594491489,0.110551613641566,90.5703125
-0.5918211642633703,-0.606164644846265,0.0133516441596097,-0.7061112382696266,-0.4935530632486454,-0.6765087357900356,-0.6118104829480427,-0.5400930800335695,-0.4627298390173186,-0.426871137560082,-0.5016403448538945,-0.6333257038223846,-0.554589150835431,-0.2417792019531544,-0.2616159304188598,-0.4081025406271454,-0.593499656672007,-0.4123750667582204,-0.3400473029678794,-0.0572976272220946,-0.366903181506065,-0.4804303044174864,-0.6269169146257721,-0.508201724269474,-0.529716945143816,-0.5454337376974132,-0.4294651712825204,-0.5628290226596472,-0.5272755016403445,-0.2300297550926981,-0.5133897917143507,0.1433585107194633,90.578125
-0.5584039063096052,-0.5728999771114668,0.0440222781719696,-0.6725413900968945,-0.4601358052948802,-0.6430914778362703,-0.5783932249942775,-0.5068284122987713,-0.4294651712825204,-0.3937590600442507,-0.4683756771190963,-0.5999084458686195,-0.5213244831006328,-0.2086671244373231,-0.2286564431219954,-0.3748378728923472,-0.5600823987182417,-0.3791103990234222,-0.3069352254520481,-0.0244907301441973,-0.3337911039902338,-0.4471656366826883,-0.593499656672007,-0.4747844663157087,-0.4964522774090177,-0.512169069962615,-0.3962005035477222,-0.5295643549248489,-0.4940108339055463,-0.1970702677958338,-0.4801251239795525,0.1760128175783936,90.5859375
