siTimeStamp,x,y,character typing,sentence
2553.5074791,-1,-1,EMPTY_ET_STREAM,MainMenu
2553.524223,-1,-1,EMPTY_ET_STREAM,MainMenu
2553.5407501,-1,-1,EMPTY_ET_STREAM,MainMenu
2553.5574863,-1,-1,EMPTY_ET_STREAM,MainMenu
2553.574021,-1,-1,EMPTY_ET_STREAM,MainMenu
2553.5907608,-1,-1,EMPTY_ET_STREAM,MainMenu
2553.6074075,-1,-1,EMPTY_ET_STREAM,MainMenu
2553.6241468,-1,-1,EMPTY_ET_STREAM,MainMenu
2553.6408183,-1,-1,EMPTY_ET_STREAM,MainMenu
2553.6573868,-1,-1,EMPTY_ET_STREAM,MainMenu
2553.674885,-1,-1,EMPTY_ET_STREAM,MainMenu
2553.6908229,-1,-1,EMPTY_ET_STREAM,MainMenu
2553.7074631,-1,-1,EMPTY_ET_STREAM,MainMenu
2553.7243016,-1,-1,EMPTY_ET_STREAM,MainMenu
2553.7406957,-1,-1,EMPTY_ET_STREAM,MainMenu
2553.7575782,-1,-1,EMPTY_ET_STREAM,MainMenu
2553.7739902,-1,-1,EMPTY_ET_STREAM,MainMenu
2553.7907319,-1,-1,EMPTY_ET_STREAM,MainMenu
2553.8073353,-1,-1,EMPTY_ET_STREAM,MainMenu
2553.8241406,-1,-1,EMPTY_ET_STREAM,MainMenu
2553.8407856,-1,-1,EMPTY_ET_STREAM,MainMenu
2553.8576962,-1,-1,EMPTY_ET_STREAM,MainMenu
2553.8752523,-1,-1,EMPTY_ET_STREAM,MainMenu
2553.8920638,-1,-1,EMPTY_ET_STREAM,MainMenu
2553.9079605,-1,-1,EMPTY_ET_STREAM,MainMenu
2553.9251393,-1,-1,EMPTY_ET_STREAM,MainMenu
2553.9406749,-1,-1,EMPTY_ET_STREAM,MainMenu
2553.9573,-1,-1,EMPTY_ET_STREAM,MainMenu
2553.9739976,-1,-1,EMPTY_ET_STREAM,MainMenu
2553.9906402,-1,-1,EMPTY_ET_STREAM,MainMenu
2554.007327,-1,-1,EMPTY_ET_STREAM,MainMenu
2554.0243167,-1,-1,EMPTY_ET_STREAM,MainMenu
2554.0406444,-1,-1,EMPTY_ET_STREAM,MainMenu
2554.0572859,-1,-1,EMPTY_ET_STREAM,MainMenu
2554.0738,-1,-1,EMPTY_ET_STREAM,MainMenu
2554.0906153,-1,-1,EMPTY_ET_STREAM,MainMenu
2554.1073055,-1,-1,EMPTY_ET_STREAM,MainMenu
2554.1243095,-1,-1,EMPTY_ET_STREAM,MainMenu
2554.1406385,-1,-1,EMPTY_ET_STREAM,MainMenu
2554.1577276,-1,-1,EMPTY_ET_STREAM,MainMenu
2554.1737793,-1,-1,EMPTY_ET_STREAM,MainMenu
2554.1906146,-1,-1,EMPTY_ET_STREAM,MainMenu
2554.2072946,-1,-1,EMPTY_ET_STREAM,MainMenu
2554.2241584,-1,-1,EMPTY_ET_STREAM,MainMenu
2554.240583,-1,-1,EMPTY_ET_STREAM,MainMenu
2554.2575609,-1,-1,EMPTY_ET_STREAM,MainMenu
2554.2745568,-1,-1,EMPTY_ET_STREAM,MainMenu
2554.2915571,-1,-1,EMPTY_ET_STREAM,MainMenu
2554.3073308,-1,-1,EMPTY_ET_STREAM,MainMenu
2554.3244672,-1,-1,EMPTY_ET_STREAM,MainMenu
2554.3405325,-1,-1,EMPTY_ET_STREAM,MainMenu
2554.3573834,-1,-1,EMPTY_ET_STREAM,MainMenu
2554.3737189,-1,-1,EMPTY_ET_STREAM,MainMenu
2554.3907123,-1,-1,EMPTY_ET_STREAM,MainMenu
2554.407186,-1,-1,EMPTY_ET_STREAM,MainMenu
2554.4243448,-1,-1,EMPTY_ET_STREAM,MainMenu
2554.4405277,-1,-1,EMPTY_ET_STREAM,MainMenu
2554.4575912,-1,-1,EMPTY_ET_STREAM,MainMenu
2554.4737484,-1,-1,EMPTY_ET_STREAM,MainMenu
2554.490536,-1,-1,EMPTY_ET_STREAM,MainMenu
2554.5071883,-1,-1,EMPTY_ET_STREAM,MainMenu
2554.5240004,-1,-1,EMPTY_ET_STREAM,MainMenu
2554.5404301,-1,-1,EMPTY_ET_STREAM,MainMenu
2554.5574285,-1,-1,EMPTY_ET_STREAM,MainMenu
2554.5737527,-1,-1,EMPTY_ET_STREAM,MainMenu
2554.590571,-1,-1,EMPTY_ET_STREAM,MainMenu
2554.6072519,-1,-1,EMPTY_ET_STREAM,MainMenu
2554.6239644,-1,-1,EMPTY_ET_STREAM,MainMenu
2554.6404598,-1,-1,EMPTY_ET_STREAM,MainMenu
2554.6572123,-1,-1,EMPTY_ET_STREAM,MainMenu
2554.6736046,-1,-1,EMPTY_ET_STREAM,MainMenu
2554.6903905,-1,-1,EMPTY_ET_STREAM,MainMenu
2554.7071517,-1,-1,EMPTY_ET_STREAM,MainMenu
2554.7236973,-1,-1,EMPTY_ET_STREAM,MainMenu
2554.7403809,-1,-1,EMPTY_ET_STREAM,MainMenu
2554.757051,-1,-1,EMPTY_ET_STREAM,MainMenu
2554.7737738,-1,-1,EMPTY_ET_STREAM,MainMenu
2554.7903645,-1,-1,EMPTY_ET_STREAM,MainMenu
2554.8070443,-1,-1,EMPTY_ET_STREAM,MainMenu
2554.8237285,-1,-1,EMPTY_ET_STREAM,MainMenu
2554.8404333,-1,-1,EMPTY_ET_STREAM,MainMenu
2554.8569847,-1,-1,EMPTY_ET_STREAM,MainMenu
2554.874521,-1,-1,EMPTY_ET_STREAM,MainMenu
2554.8903881,-1,-1,EMPTY_ET_STREAM,MainMenu
2554.9070287,-1,-1,EMPTY_ET_STREAM,MainMenu
2554.9242302,-1,-1,EMPTY_ET_STREAM,MainMenu
2554.9403953,-1,-1,EMPTY_ET_STREAM,MainMenu
2554.9570779,-1,-1,EMPTY_ET_STREAM,MainMenu
2554.9735378,-1,-1,EMPTY_ET_STREAM,MainMenu
2554.990389,-1,-1,EMPTY_ET_STREAM,MainMenu
2555.0070103,-1,-1,EMPTY_ET_STREAM,MainMenu
2555.0236283,-1,-1,EMPTY_ET_STREAM,MainMenu
2555.0403191,-1,-1,EMPTY_ET_STREAM,MainMenu
2555.0570335,-1,-1,EMPTY_ET_STREAM,MainMenu
