TimeStamp,x,y,character typing,sentence
2446.2260448,-1,-1,EMPTY_ET_STREAM,MainMenu
2446.2428601,-1,-1,EMPTY_ET_STREAM,MainMenu
2446.2594352,-1,-1,EMPTY_ET_STREAM,MainMenu
2446.276136,-1,-1,EMPTY_ET_STREAM,MainMenu
2446.2926873,-1,-1,EMPTY_ET_STREAM,MainMenu
2446.3095553,-1,-1,EMPTY_ET_STREAM,MainMenu
2446.3260564,-1,-1,EMPTY_ET_STREAM,MainMenu
2446.3426772,-1,-1,EMPTY_ET_STREAM,MainMenu
2446.3593907,-1,-1,EMPTY_ET_STREAM,MainMenu
2446.3760863,-1,-1,EMPTY_ET_STREAM,MainMenu
2446.3926445,-1,-1,EMPTY_ET_STREAM,MainMenu
2446.4094048,-1,-1,EMPTY_ET_STREAM,MainMenu
2446.4261929,-1,-1,EMPTY_ET_STREAM,MainMenu
2446.4427679,-1,-1,EMPTY_ET_STREAM,MainMenu
2446.4593559,-1,-1,EMPTY_ET_STREAM,MainMenu
2446.4759783,-1,-1,EMPTY_ET_STREAM,MainMenu
2446.4926182,-1,-1,EMPTY_ET_STREAM,MainMenu
2446.5092857,-1,-1,EMPTY_ET_STREAM,MainMenu
2446.5259952,-1,-1,EMPTY_ET_STREAM,MainMenu
2446.5427032,-1,-1,EMPTY_ET_STREAM,MainMenu
2446.5593341,-1,-1,EMPTY_ET_STREAM,MainMenu
2446.5760004,-1,-1,EMPTY_ET_STREAM,MainMenu
2446.5925946,-1,-1,EMPTY_ET_STREAM,MainMenu
2446.6097447,-1,-1,EMPTY_ET_STREAM,MainMenu
2446.626049,-1,-1,EMPTY_ET_STREAM,MainMenu
2446.6426758,-1,-1,EMPTY_ET_STREAM,MainMenu
2446.659395,-1,-1,EMPTY_ET_STREAM,MainMenu
2446.6759508,-1,-1,EMPTY_ET_STREAM,MainMenu
2446.6925504,-1,-1,EMPTY_ET_STREAM,MainMenu
2446.7093503,-1,-1,EMPTY_ET_STREAM,MainMenu
2446.7259204,-1,-1,EMPTY_ET_STREAM,MainMenu
2446.7426637,-1,-1,EMPTY_ET_STREAM,MainMenu
2446.7592604,-1,-1,EMPTY_ET_STREAM,MainMenu
2446.775897,-1,-1,EMPTY_ET_STREAM,MainMenu
2446.7925014,-1,-1,EMPTY_ET_STREAM,MainMenu
2446.8092386,-1,-1,EMPTY_ET_STREAM,MainMenu
2446.8259508,-1,-1,EMPTY_ET_STREAM,MainMenu
2446.8425281,-1,-1,EMPTY_ET_STREAM,MainMenu
2446.859181,-1,-1,EMPTY_ET_STREAM,MainMenu
2446.8758613,-1,-1,EMPTY_ET_STREAM,MainMenu
2446.8924919,-1,-1,EMPTY_ET_STREAM,MainMenu
2446.9093075,-1,-1,EMPTY_ET_STREAM,MainMenu
2446.9258574,-1,-1,EMPTY_ET_STREAM,MainMenu
2446.9424791,-1,-1,EMPTY_ET_STREAM,MainMenu
2446.9591227,-1,-1,EMPTY_ET_STREAM,MainMenu
2446.9758534,-1,-1,EMPTY_ET_STREAM,MainMenu
2446.9924639,-1,-1,EMPTY_ET_STREAM,MainMenu
2447.0092155,-1,-1,EMPTY_ET_STREAM,MainMenu
2447.0258837,-1,-1,EMPTY_ET_STREAM,MainMenu
2447.0443952,-1,-1,EMPTY_ET_STREAM,MainMenu
2447.0596658,-1,-1,EMPTY_ET_STREAM,MainMenu
2447.075839,-1,-1,EMPTY_ET_STREAM,MainMenu
2447.0923476,-1,-1,EMPTY_ET_STREAM,MainMenu
2447.1091606,-1,-1,EMPTY_ET_STREAM,MainMenu
2447.1258434,-1,-1,EMPTY_ET_STREAM,MainMenu
2447.1424948,-1,-1,EMPTY_ET_STREAM,MainMenu
2447.159235,-1,-1,EMPTY_ET_STREAM,MainMenu
2447.1758321,-1,-1,EMPTY_ET_STREAM,MainMenu
2447.1923508,-1,-1,EMPTY_ET_STREAM,MainMenu
2447.2091058,-1,-1,EMPTY_ET_STREAM,MainMenu
2447.2257554,-1,-1,EMPTY_ET_STREAM,MainMenu
2447.2424517,-1,-1,EMPTY_ET_STREAM,MainMenu
2447.2591945,-1,-1,EMPTY_ET_STREAM,MainMenu
2447.2758091,-1,-1,EMPTY_ET_STREAM,MainMenu
2447.2923258,-1,-1,EMPTY_ET_STREAM,MainMenu
2447.3090747,-1,-1,EMPTY_ET_STREAM,MainMenu
2447.325761,-1,-1,EMPTY_ET_STREAM,MainMenu
2447.3424342,-1,-1,EMPTY_ET_STREAM,MainMenu
2447.3592119,-1,-1,EMPTY_ET_STREAM,MainMenu
2447.3757142,-1,-1,EMPTY_ET_STREAM,MainMenu
2447.3922597,-1,-1,EMPTY_ET_STREAM,MainMenu
2447.4090344,-1,-1,EMPTY_ET_STREAM,MainMenu
2447.4256936,-1,-1,EMPTY_ET_STREAM,MainMenu
2447.4423542,-1,-1,EMPTY_ET_STREAM,MainMenu
2447.4590307,-1,-1,EMPTY_ET_STREAM,MainMenu
2447.4757667,-1,-1,EMPTY_ET_STREAM,MainMenu
2447.4922471,-1,-1,EMPTY_ET_STREAM,MainMenu
2447.5090413,-1,-1,EMPTY_ET_STREAM,MainMenu
2447.5257079,-1,-1,EMPTY_ET_STREAM,MainMenu
2447.5423797,-1,-1,EMPTY_ET_STREAM,MainMenu
2447.5592064,-1,-1,EMPTY_ET_STREAM,MainMenu
2447.5756881,-1,-1,EMPTY_ET_STREAM,MainMenu
2447.5922266,-1,-1,EMPTY_ET_STREAM,MainMenu
2447.6089874,-1,-1,EMPTY_ET_STREAM,MainMenu
2447.6256938,-1,-1,EMPTY_ET_STREAM,MainMenu
2447.6422927,-1,-1,EMPTY_ET_STREAM,MainMenu
2447.6591528,-1,-1,EMPTY_ET_STREAM,MainMenu
2447.6757267,-1,-1,EMPTY_ET_STREAM,MainMenu
2447.6922017,-1,-1,EMPTY_ET_STREAM,MainMenu
2447.7089379,-1,-1,EMPTY_ET_STREAM,MainMenu
2447.7256242,-1,-1,EMPTY_ET_STREAM,MainMenu
2447.7422534,-1,-1,EMPTY_ET_STREAM,MainMenu
2447.7589592,-1,-1,EMPTY_ET_STREAM,MainMenu
2447.7755856,-1,-1,EMPTY_ET_STREAM,MainMenu
2447.7922486,-1,-1,EMPTY_ET_STREAM,MainMenu
2447.8089132,-1,-1,EMPTY_ET_STREAM,MainMenu
2447.8255649,-1,-1,EMPTY_ET_STREAM,MainMenu
2447.8424567,-1,-1,EMPTY_ET_STREAM,MainMenu
2447.8588872,-1,-1,EMPTY_ET_STREAM,MainMenu
2447.8755328,-1,-1,EMPTY_ET_STREAM,MainMenu
2447.8921411,-1,-1,EMPTY_ET_STREAM,MainMenu
2447.9088749,-1,-1,EMPTY_ET_STREAM,MainMenu
2447.9255802,-1,-1,EMPTY_ET_STREAM,MainMenu
2447.9422847,-1,-1,EMPTY_ET_STREAM,MainMenu
2447.9594343,-1,-1,EMPTY_ET_STREAM,MainMenu
2447.9757515,-1,-1,EMPTY_ET_STREAM,MainMenu
2447.9921264,-1,-1,EMPTY_ET_STREAM,MainMenu
2448.0089932,-1,-1,EMPTY_ET_STREAM,MainMenu
2448.0255547,-1,-1,EMPTY_ET_STREAM,MainMenu
2448.0424847,-1,-1,EMPTY_ET_STREAM,MainMenu
2448.0588304,-1,-1,EMPTY_ET_STREAM,MainMenu
2448.0756481,-1,-1,EMPTY_ET_STREAM,MainMenu
2448.0920964,-1,-1,EMPTY_ET_STREAM,MainMenu
2448.1091374,-1,-1,EMPTY_ET_STREAM,MainMenu
2448.1254606,-1,-1,EMPTY_ET_STREAM,MainMenu
2448.1424218,-1,-1,EMPTY_ET_STREAM,MainMenu
2448.1588234,-1,-1,EMPTY_ET_STREAM,MainMenu
2448.1756617,-1,-1,EMPTY_ET_STREAM,MainMenu
2448.192047,-1,-1,EMPTY_ET_STREAM,MainMenu
2448.2089224,-1,-1,EMPTY_ET_STREAM,MainMenu
2448.2253879,-1,-1,EMPTY_ET_STREAM,MainMenu
2448.2425111,-1,-1,EMPTY_ET_STREAM,MainMenu
2448.2588773,-1,-1,EMPTY_ET_STREAM,MainMenu
2448.2753827,-1,-1,EMPTY_ET_STREAM,MainMenu
2448.2919963,-1,-1,EMPTY_ET_STREAM,MainMenu
2448.30902,-1,-1,EMPTY_ET_STREAM,MainMenu
2448.3253623,-1,-1,EMPTY_ET_STREAM,MainMenu
2448.3423097,-1,-1,EMPTY_ET_STREAM,MainMenu
2448.3592234,-1,-1,EMPTY_ET_STREAM,MainMenu
2448.3755146,-1,-1,EMPTY_ET_STREAM,MainMenu
2448.3919466,-1,-1,EMPTY_ET_STREAM,MainMenu
2448.4088778,-1,-1,EMPTY_ET_STREAM,MainMenu
2448.4254284,-1,-1,EMPTY_ET_STREAM,MainMenu
2448.4421619,-1,-1,EMPTY_ET_STREAM,MainMenu
2448.4587374,-1,-1,EMPTY_ET_STREAM,MainMenu
2448.4754867,-1,-1,EMPTY_ET_STREAM,MainMenu
2448.4919613,-1,-1,EMPTY_ET_STREAM,MainMenu
2448.5086387,-1,-1,EMPTY_ET_STREAM,MainMenu
